Name,Date,Month,Event Type,Event Status,Event Size,Speaker / Resource,Resource Status,Lifelong Learning Categories,Topic Category,Target Audience,Event Category,Event Description,COR / Open to Region,City/Country,Collaboration w/other Chapters,Notes / Comments,Launch Timing,Day Chair Name,Chapter Name,Day Chair Name 2
Learning Event - AI is Changing Everything. Are You Ready?,2026-09-12,September ,Training,Scheduled,Medium (15-50),,Wishlist,Business Growth,Leadership,Members. Spouses,Learning,"AI is Changing Everything. Are You Ready?

Artificial Intelligence is reshaping industries, redefining work, and creating entirely new business models. Discover how leaders can harness AI to drive growth, increase productivity, and remain competitive in an increasingly automated world",Open to region,Pakistan,,,,,YPO Indus Integrated,
The Future of Health & Longevity,2026-12-05,December,Training,Scheduled,Medium (15-50),,Wishlist,Personal Development,Health,"Members,Spouses",Learning,"The Future of Health & Longevity

Sustained leadership requires sustained performance. Discover the latest insights in longevity, executive wellness, cognitive health, and peak performance to help leaders remain energized and effective for decades to come.",Open to region,Pakistan,,,,,YPO Indus Integrated,
The Future of Solar Energy: Innovation & Opportunities ,2026-10-25,October,Conference,TBD,Medium (15–50),,Wishlist,Business Innovation,"Technology,Innovation","Spouses (Mixed),Members",Learning,,Not Decided Yet,TBD,TBC,,2026-09-30,Not Decided Yet,YPO Iraq Integrated,
Health & Wellness: Building a Balanced Lifestyle,2027-01-20,January,Training,TBD,Small (10–15),Fady Hannah Shamouni,Under Negotiation,Personal Development,Longevity,"Members,Spouses (Mixed)",Learning,,Not Decided Yet,TBD,No,,2026-12-20,TBD,YPO Iraq Integrated,
Financial Management & Strategic Leadership ,2027-03-10,March,Training,TBD,Small (10–15),,Wishlist,Business Leadership,"Finance,Leadership","Members,Spouses (Mixed)","Learning,Connection",,Not Decided Yet,TBD,No,Panel discussion with senior leaders.,2027-02-10,TBD,YPO Iraq Integrated,
Negotiation Skills and Family Business Governance,2027-05-05,May,Training,TBD,Small (10–15),,Wishlist,Business Growth,"Family Business,Managment","Members,Spouses (Mixed)",Learning,,Not Decided Yet,TBD,TBC,,2027-04-05,TBD,YPO Iraq Integrated,
Speaker ,2026-10-08,October,Social Event,Planning Stage,Medium (15–50),Kaihan Krippendorff,Pending,Business Growth,Investing,Members,Learning,Speaker ,Not Open to Region,Qatar,No,,2026-10-08,,YPO Qatar Integrated,
Qatar Economic Forum,2027-04-06,April,Virtual/Hybrid,Scheduled,Medium (15–50),Bloomberg Qatar,Confirmed,Business Growth,Customer Service,Members,Learning,Bloomberg Qatar ,Open to Region,Qatar,No,Invite external customer experience expert.,2027-04-06,,YPO Qatar Integrated,
Web Summit ,2027-01-31,January,Conference,Scheduled,Large (50-100),,Confirmed,Business Growth,Leadership,Members,"Learning,Connection",Web Summit ,Open to Region,Qatar,No,,2027-01-31,,YPO Qatar Integrated,
Driving Performance with HBD Prof. VG Narayanan,2026-09-24,September,Training,Confirmed,XXL (100+),VG Narayanan,Confirmed,Family Focus,Relationships,Spouses (Mixed),Learning,Hands-on workshop on new digital tools and platforms.,Open to Region,"Dubai, UAE",Yes,"Confirmed collab event with Emirates
",2026-07-31,"Atheeqe Ansari
",YPO Dubai Downtown,
Scaling Up Event Joint with YPO Dubai,2026-10-22,October,Milestone Event,Confirmed,Large (50-100),Professor,Confirmed,Business Growth,Investing,Members,Learning,Interactive case studies and Q&A.,Not Decided Yet,"Dubai, UAE",Yes,,2026-08-15,TBC,YPO Dubai Downtown,
University Admission ,2026-10-17,October,Fireside Chat,Planning Stage,Medium (15–50),Exploring,Under Negotiation,Generational Success,Parenting,"Members,Spouses (Mixed),YNG",Learning,,Not Open to Region,"Dubai, UAE",TBC,,,TBC,YPO Dubai Downtown,
 Family Constellations,,November,Experiences,Planning Stage,Medium (15–50),Exploring Rima Zanoun,Under Negotiation,Personal Development,Spirituality,Family,Connection,,Not Open to Region,"Dubai, UAE",No,,,TBC,YPO Dubai Downtown,
Leadership Under Pressure ITB or Roundtable,2026-12-16,December,Roundtable,Planning Stage,Small (10–15),Exploring,Under Negotiation,Business Innovation,Leadership,Members,Learning,,Not Open to Region,"Dubai, UAE",No,,,TBC,YPO Dubai Downtown,
Family Business & Legacy -Succession Workshop,,December,Training,Planning Stage,Medium (15–50),Exploring,Under Negotiation,Generational Success,Family Business,Family,Connection,,Not Open to Region,"Dubai, UAE",No,,,TBC,YPO Dubai Downtown,
Business Exit and Life Transition,2027-01-06,January,Fireside Chat,Planning Stage,Medium (15–50),Exploring,Under Negotiation,Generational Success,Family Business,"Members,Spouses (Mixed)",Learning,,Not Open to Region,"Dubai, UAE",No,,,TBC,YPO Dubai Downtown,
Consciousness & Quantum  Wellness Experiential Event,2025-11-03,March,Experiences,Planning Stage,Large (50-100),Dr. Williams,Confirmed,Business Growth,AI & Technology,"Spouses (Mixed),Members",Learning,,Not Decided Yet,"Dubai, UAE",TBC,,,TBC,YPO Dubai Downtown,
Taking Care Of Old Parents (with spouses),2027-03-19,March,Fireside Chat,Planning Stage,Small (10–15),Explorig Doctors ,Pending,Family Focus,Longevity,"Members,Spouses (Mixed),Family",Learning,,Not Open to Region,"Dubai, UAE",No,,,TBC,YPO Dubai Downtown,
AI Halfday Workshop ,2025-10-07,October,Training,Scheduled,Medium (15–50),Alex Rivera,Confirmed,Business Innovation,Technology,Spouses (Mixed),Learning,Hands-on workshop on new digital tools and platforms.,Open to Region,"Beirut, Lebanon",No,Partnering with IT vendors for demos.,2025-08-01,,YPO MENA Olive Regional Integrated,
Impact Inspire: ZOOM Fireside call ,2025-10-22,October,Fireside Chat,Scheduled,Medium (15–50),Priya Nair,Confirmed,Business Growth,Customer Service,"Gold Members,YNG",Learning,Interactive webinar with case studies and Q&A.,Open to Region,Virtual,TBC,Invite external customer experience expert.,2025-08-20,,YPO MENA Olive Regional Integrated,
MasterChef Family - Sustainability - local food sourcing ,2025-10-25,October,Experiences,Scheduled,Small (10–15),Michael Osei,Confirmed,Business Leadership,Leadership,"Members,Gold Members","Learning,Connection",Quarterly forum for leadership development.,Not Decided Yet,"Casablanca, Morocco",No,Panel discussion with senior leaders.,2025-09-25,,YPO MENA Olive Regional Integrated,
The Capital Room - Investment and allocation,2025-11-11,November,Lunch & Learn,Scheduled,Large (50-100),Dr. Williams,Confirmed,Business Growth,Compliance,"Spouses (Mixed),Members",Learning,Mandatory compliance training sessions.,Not Open to Region,"Amman, Jordan",TBC,"Annual refresher, tracked via LMS.",2025-10-10,,YPO MENA Olive Regional Integrated,
Fireside Chat #1 - FLAGSHIP Mentoring Impact Update,2025-11-15,November,Fireside Chat,Planning Stage,XXL (100+),Mr. Smith,Pending,Business Innovation,Innovation,Members,Learning,24-hour hackathon with prizes for best solutions.,Open to Region,"Karachi, Pakistan",Yes,Seeking sponsors and judges.,2025-11-20,,YPO MENA Olive Regional Integrated,
